case_id,language,query,jurisdiction,answer,citations,citation_evidence,faithfulness_1_5,answer_relevance_1_5,citation_completeness_1_5,language_quality_1_5,reviewer_notes
m7-102,ar,ما المصدر الاتحادي العربي لمعلومات التأشيرات؟,Federal,المصدر الرسمي ذو الصلة هو صفحة «التأشيرات وبطاقة الهوية» التابعة لـالمنصة الرسمية لحكومة الإمارات. الحياة في دولة الامارات التاشيرات وبطاقة الهوية التاشيرات وبطاقة الهوية تاشيرات السياحة والزيارة، اذونات الدخول، تاشيرات الاقامة، بطاقة الهوية الاماراتية [S1],https://u.ae/ar/information-and-services/visa-and-emirates-id,"S1 | source_id=federal_visa_identity_ar | authority=UAE Government Portal | title=التأشيرات وبطاقة الهوية | المنصة الرسمية لحكومة الإمارات العربية المتحدة
excerpt: الحياة في دولة الامارات التاشيرات وبطاقة الهوية التاشيرات وبطاقة الهوية تاشيرات السياحة والزيارة، اذونات الدخول، تاشيرات الاقامة، بطاقة الهوية الاماراتية
url: https://u.ae/ar/information-and-services/visa-and-emirates-id",5,5,5,3,"AI-assisted review: correct source and supported, but Arabic wording is awkward and includes raw/repeated page text."
m7-104,ar,أريد معلومات رسمية باللغة العربية عن التأشيرات الإماراتية.,Federal,وفقاً للمصادر الرسمية المفهرسة، الحياة في دولة الامارات التاشيرات وبطاقة الهوية التاشيرات وبطاقة الهوية تاشيرات السياحة والزيارة، اذونات الدخول، تاشيرات الاقامة، بطاقة الهوية الاماراتية [S1],https://u.ae/ar/information-and-services/visa-and-emirates-id,"S1 | source_id=federal_visa_identity_ar | authority=UAE Government Portal | title=التأشيرات وبطاقة الهوية | المنصة الرسمية لحكومة الإمارات العربية المتحدة
excerpt: الحياة في دولة الامارات التاشيرات وبطاقة الهوية التاشيرات وبطاقة الهوية تاشيرات السياحة والزيارة، اذونات الدخول، تاشيرات الاقامة، بطاقة الهوية الاماراتية
url: https://u.ae/ar/information-and-services/visa-and-emirates-id",5,4,5,3,"AI-assisted review: supported official visa information, but the answer is mostly a page-text dump rather than a clean synthesis."
m7-107,ar,ما المصدر الاتحادي العربي لمعلومات التأشيرات؟ استخدم المصدر الرسمي المفهرس.,Federal,المصدر الرسمي ذو الصلة هو صفحة «التأشيرات وبطاقة الهوية» التابعة لـالمنصة الرسمية لحكومة الإمارات. الحياة في دولة الامارات التاشيرات وبطاقة الهوية التاشيرات وبطاقة الهوية تاشيرات السياحة والزيارة، اذونات الدخول، تاشيرات الاقامة، بطاقة الهوية الاماراتية [S1],https://u.ae/ar/information-and-services/visa-and-emirates-id,"S1 | source_id=federal_visa_identity_ar | authority=UAE Government Portal | title=التأشيرات وبطاقة الهوية | المنصة الرسمية لحكومة الإمارات العربية المتحدة
excerpt: الحياة في دولة الامارات التاشيرات وبطاقة الهوية التاشيرات وبطاقة الهوية تاشيرات السياحة والزيارة، اذونات الدخول، تاشيرات الاقامة، بطاقة الهوية الاماراتية
url: https://u.ae/ar/information-and-services/visa-and-emirates-id",5,5,5,3,"AI-assisted review: correct official source, but Arabic phrasing is awkward and repeats raw page text."
m7-109,ar,أريد معلومات رسمية باللغة العربية عن التأشيرات الإماراتية. استخدم المصدر الرسمي المفهرس.,Federal,المصدر الرسمي ذو الصلة هو صفحة «التأشيرات وبطاقة الهوية» التابعة لـالمنصة الرسمية لحكومة الإمارات. الحياة في دولة الامارات التاشيرات وبطاقة الهوية التاشيرات وبطاقة الهوية تاشيرات السياحة والزيارة، اذونات الدخول، تاشيرات الاقامة، بطاقة الهوية الاماراتية [S1],https://u.ae/ar/information-and-services/visa-and-emirates-id,"S1 | source_id=federal_visa_identity_ar | authority=UAE Government Portal | title=التأشيرات وبطاقة الهوية | المنصة الرسمية لحكومة الإمارات العربية المتحدة
excerpt: الحياة في دولة الامارات التاشيرات وبطاقة الهوية التاشيرات وبطاقة الهوية تاشيرات السياحة والزيارة، اذونات الدخول، تاشيرات الاقامة، بطاقة الهوية الاماراتية
url: https://u.ae/ar/information-and-services/visa-and-emirates-id",5,4,5,3,"AI-assisted review: supported and relevant, but broad/shallow and presented as raw page text."
m7-064,ar,هل توجد خدمة رسمية لتجديد رخصة القيادة في دبي؟,Dubai,وفقاً لهيئة الطرق والمواصلات، تتوفر خدمات رسمية لإدارة وتجديد رخص القيادة في دبي. [S4],https://www.rta.ae/wps/portal/rta/ae/home/rta-services?serviceId=1203,"S4 | source_id=dubai_services_ar | authority=Roads and Transport Authority | title=خدمات الهيئة - هيئة الطرق والمواصلات
excerpt: …التجاري الاستثمار الخدمات المرورية شهادات عدم ممانعة للاعمال الانشائية التنقل المشترك الخدمات الاكثر استخداما اكتشف الخدمات الاكثر استخداما (17) طلب تجديد تصريح تعلم القيادة (I) جدد تصريح التعلم عبر معاهد تعلم القيادة المعتمدة باستخدام الهوية الاماراتية، واستمر في التدريب للحصول علي رخصة القيادة الجديدة في دبي.…
url: https://www.rta.ae/wps/portal/rta/ae/home/rta-services?serviceId=1203",3,5,3,5,"AI-assisted review: answer is relevant, but the frozen excerpt shown refers to renewing a learner permit/new licence path rather than directly evidencing ordinary driving-licence renewal."
m7-071,ar,كيف أجد خدمة تجديد ملكية المركبة في دبي؟,Dubai,وفقاً لهيئة الطرق والمواصلات، تتوفر خدمات رسمية لتجديد وإدارة ملكية المركبات في دبي. [S4],https://www.rta.ae/wps/portal/rta/ae/home/rta-services?serviceId=1203,"S4 | source_id=dubai_services_ar | authority=Roads and Transport Authority | title=خدمات الهيئة - هيئة الطرق والمواصلات
excerpt: المركبات ترخيص المركبات دفع مخالفات المركبة تجديد وتعديل بيانات ملكية مركبة طلب تسجيل مركبة جديدة ادارة لوحات المركبات طلب شراء رقم لوحة مميز الاستعلام عن ملكية مركبات او لوحات ارقام ترخيص السائقين طلب او ادارة رخصة قيادة طلب اصدار رخصة قيادة جديدة او اضافة صنف جديد…
url: https://www.rta.ae/wps/portal/rta/ae/home/rta-services?serviceId=1203",5,4,5,5,"AI-assisted review: evidence clearly identifies the vehicle-ownership renewal service, but the answer does not really explain how/where to access it."
m7-077,ar,ما خدمة هيئة الطرق والمواصلات الخاصة بملكية المركبات؟ استخدم المصدر الرسمي المفهرس.,Dubai,وفقاً لهيئة الطرق والمواصلات، تتوفر خدمات رسمية لتجديد وإدارة ملكية المركبات في دبي. [S1],https://www.rta.ae/wps/portal/rta/ae/home/rta-services?serviceId=1203,"S1 | source_id=dubai_services_ar | authority=Roads and Transport Authority | title=خدمات الهيئة - هيئة الطرق والمواصلات
excerpt: اضغط هنا لتخطي القائمة الرئيسية القائمة الرئيسية الصفحة الرئيسية السائقون ومالكو المركبات المواصلات العامة قطاع الاعمال عن الهيئة خدماتنا البيانات المفتوحة الحملات الترويجية اتصل بنا English هيئة الطرق والمواصلات - خدمات الهيئة الصفحة الرئيسية عن الهيئة تعرف اكثر علي الهيئة اكتشف الهيئة مجلس المديرين جوائز الهيئة…
url: https://www.rta.ae/wps/portal/rta/ae/home/rta-services?serviceId=1203",2,4,2,5,"AI-assisted review: the answer is plausible/relevant, but the frozen citation excerpt is mostly navigation text and does not substantiate the vehicle-ownership claim."
m7-084,ar,أين أجد خدمات ترخيص السائقين في أبوظبي؟,Abu Dhabi,وفقاً للمصادر الرسمية المفهرسة، 800555 اتصل بنا المناقصات English الرئيسية عن ابوظبي للتنقل كلمة الرئيس كلمة المدير العام السياسات والاجراءات ميثاق اسعاد المتعاملين النقل في ابوظبي خدمات النقل العام مركبات الاجرة النقل المصغر النقل المدرسي حركة المرور والمواقف درب مواقف ادارة الحركة المرورية خدمات قطاع ترخيص السائقين والمركبات… [S2] خدمات ترخيص السائقين نظرة عامة تشمل خدمات ترخيص السائقين تعلم قيادة المركبات بانواعها، اصدار وتجديد رخص القيادة، وتعديل فئات الرخص، الي جانب استبدال رخص القيادة الاجنبية (خليجية او صادرة… [S1],https://admobility.gov.ae/ar-ae/driver-licensing-services; https://admobility.gov.ae/ar-ae/driver-licensing-services,"S1 | source_id=abu_dhabi_driver_licensing_ar | authority=Abu Dhabi Mobility / Integrated Transport Centre | title=خدمات قطاع ترخيص السائقين والمركبات
excerpt: مروري فعال في نظام الترخيص. لمواعيد خدمات المراكز يرجي الضغط هنا خدمات ترخيص السائقين خدمات ترخيص المركبات الخدمات الاكثر استخداما خدمات ترخيص السائقين نظرة عامة تشمل خدمات ترخيص السائقين تعلم قيادة المركبات بانواعها، اصدار وتجديد رخص القيادة، وتعديل فئات الرخص، الي جانب استبدال رخص القيادة الاجنبية…
url: https://admobility.gov.ae/ar-ae/driver-licensing-services

S2 | source_id=abu_dhabi_driver_licensing_ar | authority=Abu Dhabi Mobility / Integrated Transport Centre | title=خدمات قطاع ترخيص السائقين والمركبات
excerpt: 800555 اتصل بنا المناقصات English الرئيسية عن ابوظبي للتنقل كلمة الرئيس كلمة المدير العام السياسات والاجراءات ميثاق اسعاد المتعاملين النقل في ابوظبي خدمات النقل العام مركبات الاجرة النقل المصغر النقل المدرسي حركة المرور والمواقف درب مواقف ادارة الحركة المرورية خدمات قطاع ترخيص السائقين والمركبات اصحاب الهمم…
url: https://admobility.gov.ae/ar-ae/driver-licensing-services",5,4,5,2,"AI-assisted review: factual content is supported, but the answer contains a large amount of navigation/page-chrome text and is poor user-facing Arabic."
m7-091,ar,كيف أجدد ملكية المركبة في أبوظبي؟,Abu Dhabi,وفقاً لمركز النقل المتكامل (أبوظبي للتنقل)، تشمل خدمات ترخيص المركبات إصدار وتجديد وتسجيل ونقل ملكية المركبات. [S1],https://admobility.gov.ae/ar-ae/vehicle-licensing-services,"S1 | source_id=abu_dhabi_vehicle_licensing_ar | authority=Abu Dhabi Mobility / Integrated Transport Centre | title=خدمات قطاع ترخيص السائقين والمركبات
excerpt: مروري فعال في نظام الترخيص. لمواعيد خدمات المراكز يرجي الضغط هنا خدمات ترخيص السائقين خدمات ترخيص المركبات الخدمات الاكثر استخداما خدمات ترخيص المركبات نظرة عامة تشمل خدمات ترخيص المركبات اصدار وتجديد وتسجيل ونقل ملكية المركبات الشخصية والتجارية، وفك الرهن، بالاضافة الي اصدار الشهادات مثل شهادة تصدير…
url: https://admobility.gov.ae/ar-ae/vehicle-licensing-services",5,3,5,5,"AI-assisted review: supported statement about vehicle-licensing capabilities, but it does not answer the user's 'how do I renew' procedural request."
m7-097,ar,ما الخدمة الرسمية لترخيص المركبات في أبوظبي؟ استخدم المصدر الرسمي المفهرس.,Abu Dhabi,وفقاً لمركز النقل المتكامل (أبوظبي للتنقل)، تشمل خدمات ترخيص المركبات إصدار وتجديد وتسجيل ونقل ملكية المركبات، وتتوفر المعاملات الرقمية عبر منصة تم. [S2],https://admobility.gov.ae/ar-ae/vehicle-licensing-services,"S2 | source_id=abu_dhabi_vehicle_licensing_ar | authority=Abu Dhabi Mobility / Integrated Transport Centre | title=خدمات قطاع ترخيص السائقين والمركبات
excerpt: …المتكامل (ابوظبي للتنقل) خدمات ترخيص السائقين والمركبات، التي تشمل علي جميع الاجراءات المتعلقة بتعلم قيادة المركبات، واصدار وتجديد رخص القيادة بمختلف فئاتها، وتسجيل المركبات بجميع انواعها ونقل ملكيتها، الي جانب بعض الاجراءات الداعمة التي تهدف الي تسهيل تجربة المتعامل وتعزيز كفاءة المنظومة التنقل في امارة ابوظبي.…
url: https://admobility.gov.ae/ar-ae/vehicle-licensing-services",4,5,4,5,"AI-assisted review: core vehicle-licensing claim is supported; the answer also says transactions are available through TAMM, which is not explicit in the frozen excerpt shown."
m7-115,mixed,What is the UAE الإقامة الذهبية Golden Visa?,Federal,"According to UAE Government Portal, golden visa The Golden visa is a long-term residence visa which enables foreign talents to live, work or study in the UAE while enjoying exclusive benefits. [S1]",https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/golden-visa,"S1 | source_id=federal_golden_visa_en | authority=UAE Government Portal | title=Golden visa | The Official Platform of the UAE Government
excerpt: Life in the UAE Visa and Emirates ID Types of visas Golden visa Golden visa The Golden visa is a long-term residence visa which enables foreign talents to live, work or study in the UAE while enjoying exclusive benefits. Investors, entrepreneurs, scientists, outstanding students and graduates,…
url: https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/golden-visa",5,5,5,4,AI-assisted review: correct and supported; minor awkward repetition ('golden visa Golden visa').
m7-120,mixed,Explain the UAE Golden Visa أو الإقامة الذهبية.,Federal,"According to UAE Government Portal, golden visa The Golden visa is a long-term residence visa which enables foreign talents to live, work or study in the UAE while enjoying exclusive benefits. [S1]",https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/golden-visa,"S1 | source_id=federal_golden_visa_en | authority=UAE Government Portal | title=Golden visa | The Official Platform of the UAE Government
excerpt: Life in the UAE Visa and Emirates ID Types of visas Golden visa Golden visa The Golden visa is a long-term residence visa which enables foreign talents to live, work or study in the UAE while enjoying exclusive benefits. Investors, entrepreneurs, scientists, outstanding students and graduates,…
url: https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/golden-visa",5,5,5,4,AI-assisted review: correct and supported; minor awkward repeated heading text.
m7-125,mixed,What does الإقامة الذهبية mean in the UAE Golden Visa context?,Federal,"According to UAE Government Portal, golden visa The Golden visa is a long-term residence visa which enables foreign talents to live, work or study in the UAE while enjoying exclusive benefits. [S1]",https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/golden-visa,"S1 | source_id=federal_golden_visa_en | authority=UAE Government Portal | title=Golden visa | The Official Platform of the UAE Government
excerpt: Life in the UAE Visa and Emirates ID Types of visas Golden visa Golden visa The Golden visa is a long-term residence visa which enables foreign talents to live, work or study in the UAE while enjoying exclusive benefits. Investors, entrepreneurs, scientists, outstanding students and graduates,…
url: https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/golden-visa",5,4,5,4,"AI-assisted review: supported Golden Visa definition, but it does not explicitly explain that the Arabic phrase means 'Golden Residence/Golden Visa'."
m7-130,mixed,Tell me about the UAE Golden Visa / الإقامة الذهبية.,Federal,"According to UAE Government Portal, golden visa The Golden visa is a long-term residence visa which enables foreign talents to live, work or study in the UAE while enjoying exclusive benefits. [S1]",https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/golden-visa,"S1 | source_id=federal_golden_visa_en | authority=UAE Government Portal | title=Golden visa | The Official Platform of the UAE Government
excerpt: …is a long-term residence visa which enables foreign talents to live, work or study in the UAE while enjoying exclusive benefits. Investors, entrepreneurs, scientists, outstanding students and graduates, humanitarian pioneers and frontline heroes are among those eligible for the Golden visa. Read about the requirements and…
url: https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/golden-visa",5,5,5,4,"AI-assisted review: concise and supported, with minor raw-heading repetition."
m7-112,mixed,كيف أجدد driving licence في دبي؟,Dubai,"According to Roads and Transport Authority, use the Apply for or Manage a Driving Licence service and select Renew Driving Licence. [S3]",https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=618,"S3 | source_id=dubai_driving_licence_renew_en | authority=Roads and Transport Authority | title=Service Details - Roads & Transport Authority
excerpt: Test Log in with your account or by entering one of the following details: Emirates ID and expiry date UAE Pass Driving Licence number and issuance date Traffic File number and your date of birth. Select Renewing a Driving Licence from Drivers Licensing Services list. Receive…
url: https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=618",5,5,5,5,"AI-assisted review: direct, supported answer; English is acceptable for this mixed-language case."
m7-121,mixed,What Dubai service lets me تجديد my driving licence?,Dubai,"According to Roads and Transport Authority, use the Apply for or Manage a Driving Licence service and select Renew Driving Licence. [S6]",https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=618,"S6 | source_id=dubai_driving_licence_renew_en | authority=Roads and Transport Authority | title=Service Details - Roads & Transport Authority
excerpt: …International delivery: AED 50. Agree to the Terms and Conditions and pay the fines and fees. Download the Driving Licence and payment receipt and receive the original copy of the renewed Driving Licence through the selected delivery method. Service Time Instantly Channels RTA Dubai Steps Take…
url: https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=618",3,5,3,5,"AI-assisted review: answer is directly relevant, but the frozen excerpt shown does not contain the exact 'Apply for or Manage a Driving Licence' service-name claim."
m7-126,mixed,"For Dubai, how can I تجديد my driving licence online?",Dubai,"According to Roads and Transport Authority, select Renewing a Driving Licence from Drivers Licensing Services list. [S2]",https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=618,"S2 | source_id=dubai_driving_licence_renew_en | authority=Roads and Transport Authority | title=Service Details - Roads & Transport Authority
excerpt: …that an Evaluation Test is needed. Book the Evaluation Test appointment. Select the institute to take the test. Pay the fees. Pass the Evaluation Test. Receive the licence as a Digital Driving Licence. You can receive the original copy of the renewed licence through: Self Service…
url: https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=618",3,3,3,5,"AI-assisted review: answer is too thin for a 'how can I renew online' question, and the frozen excerpt shown does not directly support the exact selection instruction."
m7-114,mixed,كيف أجد driver licensing service في أبوظبي؟,Abu Dhabi,"According to Abu Dhabi Mobility / Integrated Transport Centre, Driver Licensing Services include issuing and renewing driving licences, with digital transactions available through the TAMM portal. [S1]",https://admobility.gov.ae/en/driver-licensing-services,"S1 | source_id=abu_dhabi_driver_licensing_en | authority=Abu Dhabi Mobility / Integrated Transport Centre | title=Driver and Vehicle Licensing Services
excerpt: digitally through the unified government platform ""TAMM"" (tamm.abudhabi). The platform enables the completion of transactions securely and efficiently using the UAE Pass and an active traffic file in the licensing system. For service centers timings click here Driver Licensing Services Vehicle Licensing Services Most Used Services…
url: https://admobility.gov.ae/en/driver-licensing-services",4,5,4,5,"AI-assisted review: TAMM/access is supported, but the shown excerpt does not explicitly evidence the full issuing-and-renewing claim."
m7-123,mixed,Where can I access خدمة تجديد driving licence in Abu Dhabi?,Abu Dhabi,"According to Abu Dhabi Mobility / Integrated Transport Centre, Driver Licensing Services include issuing and renewing driving licences, with digital transactions available through the TAMM portal. [S2]",https://admobility.gov.ae/en/driver-licensing-services,"S2 | source_id=abu_dhabi_driver_licensing_en | authority=Abu Dhabi Mobility / Integrated Transport Centre | title=Driver and Vehicle Licensing Services
excerpt: …to drive, such as rescheduling driving test appointments and renewing learning permits. All services are available through the ""TAMM"" portal in a secure and user-friendly digital format, eliminating the need to visit service centres. Quick Links Darb Toll Gate Asateel TAMM FAQs Abu Dhabi Residents Office…
url: https://admobility.gov.ae/en/driver-licensing-services",4,5,4,5,AI-assisted review: TAMM access is supported; the shown excerpt is weaker for the explicit driving-licence-renewal capability claim.
m7-128,mixed,Which Abu Dhabi portal provides خدمة driving licence renewal?,Abu Dhabi,"According to Abu Dhabi Mobility / Integrated Transport Centre, Driver Licensing Services include issuing and renewing driving licences, with digital transactions available through the TAMM portal. [S1]",https://admobility.gov.ae/en/driver-licensing-services,"S1 | source_id=abu_dhabi_driver_licensing_en | authority=Abu Dhabi Mobility / Integrated Transport Centre | title=Driver and Vehicle Licensing Services
excerpt: …to drive, such as rescheduling driving test appointments and renewing learning permits. All services are available through the ""TAMM"" portal in a secure and user-friendly digital format, eliminating the need to visit service centres. Quick Links Darb Toll Gate Asateel TAMM FAQs Abu Dhabi Residents Office…
url: https://admobility.gov.ae/en/driver-licensing-services",4,5,4,5,"AI-assisted review: the portal answer is relevant and TAMM is supported, but the excerpt is indirect on driving-licence renewal specifically."
